,road_code,start_code,end_code,section,direction,is_holiday,is_dayoff,is_dayoff_yesterday,is_dayoff_tomorrow,year,month,day,hour,search_1h,search_unspec_1d,KP,start_KP,end_KP,limit_speed,OCC,allCars,speed,start_pref_code,end_pref_code,start_lat,end_lat,start_lng,end_lng,start_degree,end_degree,speed_allCars
0,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,0,15.0,3448.0,3.9,0.0,9.4,100,2.083333333333333,510,80.71232876712328,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,41163.28767123287
1,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,1,6.0,3448.0,3.9,0.0,9.4,100,1.5,433,81.73041474654377,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,35389.26958525345
2,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,2,3.0,3448.0,3.9,0.0,9.4,100,1.3333333333333333,366,81.28882833787466,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,29751.711171662126
3,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,3,26.0,3448.0,3.9,0.0,9.4,100,1.5,426,82.95316159250585,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,35338.04683840749
4,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,4,31.0,3448.0,3.9,0.0,9.4,100,1.8333333333333333,498,82.4308617234469,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,41050.56913827655
5,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,5,31.0,3448.0,3.9,0.0,9.4,100,3.9166666666666665,1283,86.40809968847353,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,110861.59190031154
6,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,6,40.0,3448.0,3.9,0.0,9.4,100,10.583333333333334,3343,72.97577751196172,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,243958.02422248805
7,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,7,31.0,3448.0,3.9,0.0,9.4,100,11.166666666666666,3577,69.8775852431526,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,249952.12241475683
8,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,8,21.0,3448.0,3.9,0.0,9.4,100,9.583333333333334,3290,75.91826192646612,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,249771.08173807352
9,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,9,27.0,3448.0,3.9,0.0,9.4,100,8.75,2966,78.3613077182339,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,232419.63869228176
10,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,10,25.0,3448.0,3.9,0.0,9.4,100,11.916666666666666,2933,63.260736196319016,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,185543.73926380367
11,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,11,23.0,3448.0,3.9,0.0,9.4,100,8.666666666666666,2738,75.25447243519532,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,206046.7455275648
12,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,12,2.0,3448.0,3.9,0.0,9.4,100,7.75,2517,79.33756949960286,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,199692.6624305004
13,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,13,2.0,3448.0,3.9,0.0,9.4,100,6.25,2197,80.77797998180164,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,177469.2220200182
14,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,14,3.0,3448.0,3.9,0.0,9.4,100,6.25,2151,80.6496282527881,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,173477.35037174722
15,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,15,5.0,3448.0,3.9,0.0,9.4,100,6.333333333333333,2216,81.9170049616599,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,181528.08299503833
16,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,16,3.0,3448.0,3.9,0.0,9.4,100,6.333333333333333,2330,80.85371085371085,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,188389.14628914627
17,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,17,5.0,3448.0,3.9,0.0,9.4,100,6.583333333333333,2442,81.39869013507982,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,198775.60130986493
18,1800,1110210,1800006,1110210_1800006,下り,0,0,0,0,2021,4,8,18,3.0,3448.0,3.9,0.0,9.4,100,6.333333333333333,2355,79.75042444821732,13,11,35.75582,35.80615,139.6015138888889,139.5355111111111,4.0,2.0,187812.24957555177
